"","ID","MonthlyIncome"
"1",871,5757.35266354315
"2",872,2607.55448065891
"3",873,12163.9779182566
"4",874,2334.74740997337
"5",875,2430.74366248586
"6",876,5989.07511658019
"7",877,5805.3507897994
"8",878,2190.75303120464
"9",879,2847.54511194012
"10",880,12607.3255238386
"11",881,9560.6418691029
"12",882,2430.74366248586
"13",883,5709.35453728691
"14",884,5661.35641103067
"15",885,5901.34704231188
"16",886,5816.71525907519
"17",887,6015.39334328864
"18",888,5960.70963784392
"19",889,5370.06659543323
"20",890,2658.11238133921
"21",891,5594.87553986252
"22",892,8648.67747023429
"23",893,8648.67747023429
"24",894,5709.35453728691
"25",895,9674.68817007967
"26",896,8996.02882330379
"27",897,8744.67372274677
"28",898,16088.4464086822
"29",899,5901.34704231188
"30",900,2655.55260691515
"31",901,2382.74553622961
"32",902,5949.34516856812
"33",903,6285.33205236182
"34",904,2478.7417887421
"35",905,16328.4370399634
"36",906,5613.35828477442
"37",907,9290.70316002972
"38",908,6008.70776410016
"39",909,2190.75303120464
"40",910,2415.56197563393
"41",911,19067.0263425631
"42",912,2706.11050759545
"43",913,2430.74366248586
"44",914,12957.1309707099
"45",915,6008.70776410016
"46",916,5130.07596415202
"47",917,2511.55822814642
"48",918,5661.35641103067
"49",919,2329.78028978917
"50",920,2670.73429376707
"51",921,2473.7746685579
"52",922,2142.7549049484
"53",923,5322.06846917699
"54",924,5645.43344054283
"55",925,16808.4183025258
"56",926,2574.73804125458
"57",927,5901.34704231188
"58",928,13236.3786029246
"59",929,2142.7549049484
"60",930,2478.7417887421
"61",931,6141.3376735931
"62",932,12756.3973403621
"63",933,8696.67559649053
"64",934,2238.75115746088
"65",935,2142.7549049484
"66",936,2286.74928371713
"67",937,9098.71065500475
"68",938,9284.01758084124
"69",939,6026.85867616871
"70",940,2329.78028978917
"71",941,2814.7286725358
"72",942,8744.67372274677
"73",943,9560.6418691029
"74",944,5816.71525907519
"75",945,2281.78216353293
"76",946,5775.40271200743
"77",947,2329.78028978917
"78",948,2511.55822814642
"79",949,2754.10863385169
"80",950,5805.3507897994
"81",951,2847.54511194012
"82",952,5805.3507897994
"83",953,5871.39896451992
"84",954,2382.74553622961
"85",955,5322.06846917699
"86",956,8392.76386846523
"87",957,10195.9819797099
"88",958,2574.73804125458
"89",959,9224.6549853092
"90",960,19786.9982364067
"91",961,2655.55260691515
"92",962,5594.87553986252
"93",963,6111.38959580113
"94",964,5741.42969305531
"95",965,2463.56010189018
"96",966,19259.018847588
"97",967,2607.55448065891
"98",968,8696.67559649053
"99",969,16616.4257975009
"100",970,2334.74740997337
"101",971,5757.35266354315
"102",972,5967.3952170324
"103",973,2334.74740997337
"104",974,2415.56197563393
"105",975,5864.71338533144
"106",976,2559.55635440266
"107",977,6399.37835333859
"108",978,2655.55260691515
"109",979,9236.019454585
"110",980,18979.7712153733
"111",981,2569.77092107039
"112",982,8936.66622777175
"113",983,2382.74553622961
"114",984,2521.77279481414
"115",985,5805.3507897994
"116",986,2751.54885942763
"117",987,2415.56197563393
"118",988,5757.35266354315
"119",989,9428.01195960997
"120",990,2511.55822814642
"121",991,5789.42781931155
"122",992,2607.55448065891
"123",993,5741.42969305531
"124",994,5661.35641103067
"125",995,5709.35453728691
"126",996,5930.86242365622
"127",997,2511.55822814642
"128",998,16463.6902934094
"129",999,8792.67184900302
"130",1000,2142.7549049484
"131",1001,5933.42219808028
"132",1002,5317.10134899279
"133",1003,5642.87366611877
"134",1004,6584.68527917508
"135",1005,2847.54511194012
"136",1006,5853.34891605564
"137",1007,2377.77841604542
"138",1008,5967.3952170324
"139",1009,19123.7655941421
"140",1010,5701.08635904273
"141",1011,9236.019454585
"142",1012,5738.86991863125
"143",1013,6045.34142108061
"144",1014,5418.06472168947
"145",1015,5853.34891605564
"146",1016,2478.7417887421
"147",1017,2574.73804125458
"148",1018,8696.67559649053
"149",1019,8792.67184900302
"150",1020,2367.56384937769
"151",1021,5853.34891605564
"152",1022,5757.35266354315
"153",1023,5498.87928735004
"154",1024,9482.69566505469
"155",1025,16088.4464086822
"156",1026,18883.7749628608
"157",1027,5597.43531428658
"158",1028,5661.35641103067
"159",1029,5613.35828477442
"160",1030,9112.73576230888
"161",1031,5613.35828477442
"162",1032,2850.10488636418
"163",1033,12708.3992141059
"164",1034,2415.56197563393
"165",1035,5418.06472168947
"166",1036,2415.56197563393
"167",1037,5709.35453728691
"168",1038,8728.75075225893
"169",1039,12708.3992141059
"170",1040,6015.39334328864
"171",1041,2382.74553622961
"172",1042,2655.55260691515
"173",1043,8696.67559649053
"174",1044,6285.33205236182
"175",1045,2607.55448065891
"176",1046,2142.7549049484
"177",1047,5960.70963784392
"178",1048,12861.1347181974
"179",1049,2751.54885942763
"180",1050,5757.35266354315
"181",1051,10051.9876009411
"182",1052,2478.7417887421
"183",1053,5871.39896451992
"184",1054,2655.55260691515
"185",1055,2655.55260691515
"186",1056,2382.74553622961
"187",1057,5912.71151158768
"188",1058,16136.4445349384
"189",1059,6077.41657684901
"190",1060,2655.55260691515
"191",1061,5786.86804488749
"192",1062,6056.70589035641
"193",1063,6207.38584831362
"194",1064,2425.77654230166
"195",1065,6063.39146954489
"196",1066,2334.74740997337
"197",1067,3327.52637450255
"198",1068,19459.7524779358
"199",1069,5661.35641103067
"200",1070,2473.7746685579
"201",1071,2521.77279481414
"202",1072,6248.69839538138
"203",1073,2377.77841604542
"204",1074,5967.3952170324
"205",1075,5709.35453728691
"206",1076,16424.4332924759
"207",1077,19123.7655941421
"208",1078,5370.06659543323
"209",1079,5642.87366611877
"210",1080,6074.85680242495
"211",1081,2751.54885942763
"212",1082,2559.55635440266
"213",1083,2329.78028978917
"214",1084,6141.3376735931
"215",1085,8900.0325707913
"216",1086,9176.65685905296
"217",1087,5709.35453728691
"218",1088,2655.55260691515
